model,domain,phase,prompt,mean_entropy,std_entropy,perplexity,repeat_rate,switch_rate,mean_dx,mean_switch_prob,mean_final_switch_prob,mean_gap
StaticLoRA,language,transition,The road not taken reminds us that,1.3432889620463053,0.2775881098544396,2.8019711096908764,0.15217391304347824,0.0,0.0,,,
StaticLoRA,language,transition,기억이란 결국,1.927777099609375,0.24618663705042015,4.955763349736692,0.07407407407407407,0.0,0.0,,,
StaticLoRA,language,transition,"When the last star fades,",1.1521105224887531,0.19943134471584106,2.6153219062164017,0.029629629629629634,0.0,0.0,,,
StaticLoRA,language,transition,변하지 않는 것들에 대한 믿음은,1.8279074350992837,0.07078734675488345,3.432940016381231,0.1768707482993197,0.0,0.0,,,
FixedRouting,math,stable,24를 6으로 나누면,0.7046366055806478,0.3163983132896708,1.5840224964475524,0.3475177304964539,0.0,0.0,,,
FixedRouting,math,stable,The square root of 144 is,0.42510305244941266,0.11939546269406556,1.2604759753893575,0.10144927536231889,0.0,0.0,,,
FixedRouting,math,stable,"If x + 5 = 12, then x =",0.4542741925766071,0.15582184049585163,1.3203435545413797,0.30718954248366015,0.0,0.0,,,
FixedRouting,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,0.9726217868281345,0.3505331779556189,1.6231197366961887,0.1509433962264151,0.0,0.0,,,
FixedRouting,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",0.8896974759797255,0.28260514088470806,1.7669573091363677,0.17816091954022986,0.0,0.0,,,
FixedRouting,math,stable,The limit of (sin x)/x as x→0 is,0.42446824074277173,0.06934193579583997,1.2445295834825096,0.3141025641025641,0.0,0.0,,,
FixedRouting,math,stable,2^10 =,0.44942097663879393,0.10949930768077867,1.2903838006164712,0.26356589147286824,0.0,0.0,,,
FixedRouting,math,stable,"행렬 [[1,0],[0,1]]의 행렬식(determinant)은",1.228222699960073,0.1558016065021013,2.093254633868287,0.040229885057471236,0.0,0.0,,,
FixedRouting,math,stable,The sum of angles in a hexagon is,0.3491634588688612,0.020971926849324026,1.2202188193809962,0.3680555555555556,0.0,0.0,,,
FixedRouting,math,stable,e^0 =,0.8387313604354859,0.12432530149226036,1.8382139830977513,0.14728682170542637,0.0,0.0,,,
FixedRouting,code,stable,"# 피보나치 수열
def fib(n):
    if n <= 1: return n
    ",0.4275599032621054,0.1603637789601848,1.3340280822233475,0.2433862433862434,0.0,0.0,,,
FixedRouting,code,stable,"const greeting = (name) => `Hello,",0.5343036671479543,0.06055947877111383,1.4892891205769532,0.08843537414965985,0.0,0.0,,,
FixedRouting,code,stable,"try:
    result = 10 / 0
except ZeroDivisionError:",0.4328850507736206,0.03626235538078023,1.1746598467607694,0.13389450056116722,0.0,0.0,,,
FixedRouting,code,stable,<html><body><h1>Hello</h1></body></,0.5260444084803263,0.0,1.0467976817692102,0.0,0.0,0.0,,,
FixedRouting,code,stable,"df = pd.DataFrame({'a': [1,2,3]})
df['b'] = df['a'",0.39932913072302895,0.11094464773242889,1.2117249243664592,0.04761904761904764,0.0,0.0,,,
FixedRouting,code,stable,"from collections import Counter
Counter('aabbcc') ",0.27811236374836884,0.013367006116061939,1.1969115607453296,0.2875816993464052,0.0,0.0,,,
FixedRouting,code,stable,"with open('file.txt', 'r') as f:
    content =",0.5328083137671152,0.05317248674709408,1.4542569591206245,0.06689113355780026,0.0,0.0,,,
FixedRouting,code,stable,"import re
re.findall(r'\d+', 'abc123def456') ==",0.48824486043304205,0.0471420187135053,1.2625572497430444,0.16436865021770677,0.0,0.0,,,
FixedRouting,code,stable,threading.Thread(target=worker).start()  #,0.5708687178790569,0.2508822649553404,1.3543561407610951,0.28,0.0,0.0,,,
FixedRouting,code,stable,"np.linspace(0, 1, 5) ==",0.3518661178958913,0.07778149574948572,1.1956240565294245,0.32679738562091504,0.0,0.0,,,
FixedRouting,language,transition,"바람이 부는 날, 그는 오래된 편지를",0.26309679945309955,0.0699481589183651,1.184484556722233,0.5192307692307693,0.0,0.0,,,
FixedRouting,language,transition,The paradox of freedom is that,0.5272815682614843,0.07731885460050937,1.5144171991770357,0.014814814814814836,0.0,0.0,,,
FixedRouting,language,transition,만약 내가 다시 태어난다면,0.22330151995023093,0.11195986299042984,1.2504592622864192,0.5602836879432624,0.0,0.0,,,
FixedRouting,language,transition,"In the silence between words, there is",0.4704650781156185,0.05157401516442326,1.3796530549304762,0.03546099290780139,0.0,0.0,,,
FixedRouting,language,transition,존재한다는 것의 의미를 묻는다면,0.14410409132639568,0.022902936032714188,1.093780162568154,0.5163398692810457,0.0,0.0,,,
FixedRouting,language,transition,"고요한 새벽, 그녀는 창밖을 바라보며",0.19427217245101927,0.024269502957976134,1.0909825054990785,0.43396226415094336,0.0,0.0,,,
FixedRouting,language,transition,The road not taken reminds us that,0.4851903933721284,0.023661422279616675,1.3113418962568424,0.021739130434782594,0.0,0.0,,,
FixedRouting,language,transition,기억이란 결국,0.504603717972835,0.18994832848057155,1.2650808993514218,0.5703703703703703,0.0,0.0,,,
FixedRouting,language,transition,"When the last star fades,",0.7300127785555862,0.13172807164961722,1.6633683241401398,0.022222222222222216,0.0,0.0,,,
FixedRouting,language,transition,변하지 않는 것들에 대한 믿음은,0.37618605693181356,0.12632854334751864,1.3632792188062475,0.40816326530612246,0.0,0.0,,,
Nomadic_NoDx,math,stable,24를 6으로 나누면,0.10697928651503456,0.017717067537008642,1.0509487319636799,0.22695035460992907,0.39166666666666666,0.0,,,
Nomadic_NoDx,math,stable,The square root of 144 is,0.12745351595146606,0.05050785623238688,1.1224231006472267,0.18115942028985507,0.09166666666666667,0.0,,,
Nomadic_NoDx,math,stable,"If x + 5 = 12, then x =",0.11489933312746899,0.0,1.055375860710674,0.05882352941176472,0.10000000000000002,0.0,,,
Nomadic_NoDx,math,stable,원의 넓이 공식은 πr²이다. 반지름이 3이면 넓이는,0.013561929481842363,1.734723475976807e-18,1.0028901598170108,0.3770491803278688,0.225,0.0,,,
Nomadic_NoDx,math,stable,"등차수열 2, 5, 8, 11의 다음 항은",0.2311319007823757,0.015451819243772716,1.2309194462270878,0.0689655172413793,0.2833333333333333,0.0,,,
